"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MOTEF514",199,0.077293128410331,0.0821054232811033,0.00859179780589553,219,-0.560103365964943,0.219,999
"MOTEF515",152,0.0667959361702128,0.0693259570611796,0.0070691344236099,303,-0.357896842719079,0.303,999
"MOTEF714",231,0.0758745708304257,0.0771717634620784,0.00740749765805733,425,-0.175118871653205,0.425,999
"MOTEF715",197,0.0641620168067227,0.0672527792001596,0.00722745485438365,324,-0.427641881645554,0.324,999
"MOTEF914",262,0.0643952596491228,0.0675512966780269,0.00682996620889863,247,-0.46208677061859,0.247,999
"MOTEF915",254,0.072740049522462,0.0737602577221466,0.00346715189599791,408,-0.294249640710062,0.408,999
"MOTEJ515",275,0.108410406976744,0.106346043629661,0.00700180297927835,560,0.294833109870847,0.56,999
"MOTEJ715",218,0.0930591478076379,0.102938288761036,0.0171750141745798,234,-0.575204238726035,0.234,999
"MOTEJ915",258,0.0986518866571019,0.101750781726018,0.00971836567505922,345,-0.318869980049145,0.345,999
"MOTEK515",168,0.0893550475519549,0.0857498634655256,0.00809380874309852,709,0.44542491685431,0.709,999
"MOTEK715",164,0.0601307412587413,0.064919049536077,0.00712104972279517,160,-0.672416071187912,0.16,999
"MOTEK915",248,0.0771025097483162,0.0771688992598659,0.00363922575149457,524,-0.018242757136592,0.524,999
"MOTEP514",268,0.133706243158718,0.134203194329095,0.00924829981589541,514,-0.0537343274190692,0.514,999
"MOTEP515",248,0.121143273056058,0.116800594074202,0.00945202883326514,670,0.459444110726005,0.67,999
"MOTEP714",290,0.0881001967095851,0.0886524154461891,0.0059998744640924,455,-0.0920383817876217,0.455,999
"MOTEP715",249,0.103837811280596,0.106036462802179,0.00503806180047467,357,-0.436408207889798,0.357,999
"MOTEP914",284,0.073604474624732,0.0761025107645485,0.00455284554916191,303,-0.548675792500007,0.303,999
"MOTEP915",296,0.0784845194712397,0.0789128771548338,0.00395062628322849,539,-0.108427791667521,0.539,999
