"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MOTEJ715",218,0.10409123853211,0.119036221864066,0.00654112007276921,10,-2.28477434532536,0.01,999
"MOTEJ915",258,0.106409379844961,0.110478837092907,0.00545672351939209,232,-0.745769367548786,0.232,999
"MOTEK515",168,0.10051869047619,0.133373922076839,0.00795929107583386,1,-4.12790929337964,0.001,999
"MOTEK715",164,0.0988578658536585,0.13483719841793,0.00829974712935274,1,-4.33499141642854,0.001,999
"MOTEK915",248,0.10308689516129,0.112925635797087,0.00582728735626908,45,-1.68839119032159,0.045,999
"MOTEP514",268,0.0910535447761194,0.108567799702688,0.00523259580767952,1,-3.34714462387175,0.001,999
"MOTEP515",248,0.0944427822580645,0.112379127393523,0.00564251942660408,2,-3.17878305405373,0.002,999
"MOTEP714",290,0.0895529310344828,0.104971887163025,0.00471191440573309,1,-3.27233366331565,0.001,999
"MOTEP715",249,0.105339799196787,0.112133164047582,0.00572474537187399,116,-1.1866667265536,0.116,999
"MOTEP914",284,0.0938894014084507,0.106180430782896,0.00506348633933852,6,-2.42738472087011,0.006,999
"MOTEP915",296,0.0915617905405405,0.103994648432216,0.00466526408332464,5,-2.66498480463625,0.005,999
