Name,Sample,Plate,Location,dna_concentration_ng_per_ul,sequencing_run
Edna,Z14_053_F,3,B8,5.54,February_2015
Edna,Z14_054_P,3,C8,0.95,February_2015
Edna,Z14_054_F,3,D8,3.84,February_2015
Edna,Z14_055_P,3,E8,4.64,February_2015
Edna,Z14_055_F,3,F8,29.87,February_2015
Edna,Z14_056_P,3,G8,4.81,February_2015
Edna,Z14_056_F,3,H8,36.21,February_2015
Edna,Z14_057_P,3,A9,1.37,February_2015
Edna,Z14_057_F,3,B9,6.1,February_2015
Edna,Z14_058_P,3,C9,0.59,February_2015
Edna,Z14_058_F,3,D9,5.38,February_2015
Edna,Z14_059_P,3,E9,0.87,February_2015
Edna,Z14_059_F,3,F9,5,February_2015
Edna,Z14_060_P,3,G9,0.6,February_2015
Edna,Z14_060_F,3,H9,4.86,February_2015
Edna,Z14_061_P,3,A10,1.31,February_2015
Edna,Z14_061_F,3,B10,15.2,February_2015
Edna,Z14_062_P,3,C10,0.97,February_2015
Edna,Z14_062_F,3,D10,4.56,February_2015
Edna,Z14_063_P,3,E10,0.91,February_2015
Edna,Z14_063_F,3,F10,3.62,February_2015
Edna,Z14_064_P,3,G10,0.73,February_2015
Edna,Z14_064_F,3,H10,3.45,February_2015
Edna,Z14_C1,3,A11,0,February_2015
Edna,Z14_C2,3,B11,0,February_2015
Edna,Z14_C3,3,C11,0,February_2015
Michelle,E0054_100L,3,D11,2.221,February_2015
Michelle,E0120_100L,3,E11,0,February_2015
Edna,Z14_C4,3,D12,0,February_2015
Joe,A.3.0Oso,4,A1,,February_2015
Joe,B.3.0Sac,4,B1,,February_2015
Joe,C.0.2Oso,4,C1,,February_2015
Joe,D.0.2Sac,4,D1,,February_2015
Joe,1.3.0Bbr,4,E1,4.843,February_2015
Joe,2.0.2Bbr,4,F1,0.664,February_2015
Joe,3.3.0Cac,4,G1,0.771,February_2015
Joe,4.0.2Cac,4,H1,0.892,February_2015
Joe,5.3.0Pdu,4,A2,0.415,February_2015
Joe,6.0.2Pdu,4,B2,0.509,February_2015
Joe,7.3.0Cso,4,C2,0.594,February_2015
Joe,8.0.2Cso,4,D2,0,February_2015
Joe,9.3.0Cme,4,E2,6.579,February_2015
Joe,10.0.2Cme,4,F2,2.65,February_2015
Joe,11.3.0Sca,4,G2,0.526,February_2015
Joe,12.0.2Sca,4,H2,0,February_2015
Joe,13.3.0Spu,4,A3,0,February_2015
Joe,14.0.2Spu,4,B3,0,February_2015
Joe,15.3.0Ctu,4,C3,0.637,February_2015
Joe,16.0.2Ctu,4,D3,0,February_2015
Joe,17.3.0Mmi,4,E3,0,February_2015
Joe,18.0.2Mmi,4,F3,0.0663,February_2015
Joe,19.3.0Tmi,4,G3,0.709,February_2015
Joe,20.0.2Tmi,4,H3,0.895,February_2015
Joe,21.3.0Cmi,4,A4,0,February_2015
Joe,22.0.2Cmi,4,B4,0,February_2015
Joe,23.3.0Afa,4,C4,0,February_2015
Joe,24.0.2Afa,4,D4,0,February_2015
Joe,25.3.0Caq,4,E4,0,February_2015
Joe,26.0.2Caq,4,F4,0,February_2015
Marian,TerrA_0_P,4,G4,,February_2015
Marian,TerrB_0_P,4,H4,,February_2015
Marian,TerrC_0_P,4,A5,,February_2015
Marian,AlgaA_0_P,4,B5,,February_2015
Marian,AlgaB_0_P,4,C5,,February_2015
Marian,AlgaC_0_P,4,D5,,February_2015
Marian,MixxA_0_P,4,E5,,February_2015
Marian,MixxB_0_P,4,F5,,February_2015
Marian,MixxC_0_P,4,G5,,February_2015
Marian,ContA_0_P,4,H5,,February_2015
Marian,ContB_0_P,4,A6,,February_2015
Marian,ContC_0_P,4,B6,,February_2015
Marian,MiQW_0_P,4,C6,,February_2015
Marian,TerrA_4_P,4,D6,,February_2015
Marian,TerrB_4_P,4,E6,,February_2015
Marian,TerrC_4_P,4,F6,,February_2015
Marian,AlgaA_4_P,4,G6,,February_2015
Marian,AlgaB_4_P,4,H6,,February_2015
Marian,AlgaC_4_P,4,A7,,February_2015
Marian,MixxA_4_P,4,B7,,February_2015
Marian,MixxB_4_P,4,C7,,February_2015
Marian,MixxC_4_P,4,D7,,February_2015
Marian,ContA_4_P,4,E7,,February_2015
Marian,ContB_4_P,4,F7,,February_2015
Marian,ContC_4_P,4,G7,,February_2015
Marian,MiQW_4_P,4,H7,,February_2015
Marian,TerrA_0_F,4,A8,,February_2015
Marian,TerrB_0_F,4,B8,,February_2015
Marian,TerrC_0_F,4,C8,,February_2015
Marian,AlgaA_0_F,4,D8,,February_2015
Marian,AlgaB_0_F,4,E8,,February_2015
Marian,AlgaC_0_F,4,F8,,February_2015
Marian,MixxA_0_F,4,G8,,February_2015
Marian,MixxB_0_F,4,H8,,February_2015
Marian,MixxC_0_F,4,A9,,February_2015
Marian,ContA_0_F,4,B9,,February_2015
Marian,ContB_0_F,4,C9,,February_2015
Marian,ContC_0_F,4,D9,,February_2015
Marian,TerrA_4_F,4,E9,,February_2015
Marian,TerrB_4_F,4,F9,,February_2015
Marian,TerrC_4_F,4,G9,,February_2015
Marian,AlgaA_4_F,4,H9,,February_2015
Marian,AlgaB_4_F,4,A10,,February_2015
Marian,AlgaC_4_F,4,B10,,February_2015
Marian,MixxA_4_F,4,C10,,February_2015
Marian,MixxB_4_F,4,D10,,February_2015
Marian,MixxC_4_F,4,E10,,February_2015
Marian,ContA_4_F,4,F10,,February_2015
Marian,ContB_4_F,4,G10,,February_2015
Marian,ContC_4_F,4,H10,,February_2015
Marian,MiQW_0_F,4,A11,,February_2015
Marian,MiQW_4_F,4,B11,,February_2015
Marian,MarmC_PBS,4,C11,,February_2015
Marian,MichC_PBS,4,D11,,February_2015
