samples	represented_reads	min_substantive_abundance_reason	maximum_variation_allowed_reason
MINE2F915	12201	1895	605
MILIQW815	7	9	0
MLBB2S415	1050	4484	1516
MINH1F514	23563	6304	1815
MINH1F515	10153	1617	386
MBRH2F914	15322	1077	346
MBRH2F915	12687	1660	450
110M2P715	4332	346	109
M45D2W915R	7404	782	351
110S2P515	7881	1161	357
MILIQW715	2	0	3
MOTH1P515	742	193	75
M45D2P515	3132	539	192
M45D2W915C	0	1	0
MINE1F515	7945	1456	371
M45D2W915D	7517	402	211
MDPE2P714	14934	2513	453
MINE1F514	30992	9995	2824
MINH3K515	10894	1724	469
MBRE1P914	13911	2370	602
MBRE1P915	18255	4165	1401
MDPB1S514	4349	15913	6985
MDPB1S515	795	2706	924
M45B2S715	274	1353	553
110D2W115R	8085	1792	595
MOTH2F714	9037	1017	213
MINB2S714	3325	16691	5755
MINB2S715	675	3744	1349
110B1S515	826	3917	1210
110D2W115D	9804	493	228
110B2S415	1232	4661	1359
MLBB1S715	356	1604	566
Mock4	30264	275	415
MLBS2W815R	4372	1319	231
mockD06222016	148	433	56
MINB1S515	761	4049	1375
MINB1S514	3867	19832	6203
110D2F715	11467	612	179
MBRH3K915	10708	2454	727
MLBB2S515	682	2918	1060
M45S2F415	14077	591	131
MLBS2W815D	8183	1524	490
M45D2F915	12368	627	302
mockA03072016	223	787	95
110D2P715	158	34	12
110D2F815	14309	1397	390
MOTH2F515	15866	1324	386
MOTH2F514	25163	2262	481
waterA03072016	5	4	0
MLBS2F415	10517	1235	381
MOTE3J515	7682	1632	364
MDPB2S915	949	2935	1066
MDPE1F514	73052	8945	3095
MDPE1F515	9335	645	145
MLBD2F115	9431	979	364
MDPB2S914	4318	12267	4555
MINE2P714	12434	2338	554
MINE2P715	5339	1800	439
MDPH2F714	14737	1641	404
MDPH2F715	8187	975	397
MOTB2S914	3882	14260	5103
MOTB2S915	246	2513	842
M15B2S815	668	4009	1091
MINH2F715	9712	1310	356
MINH2F714	10995	1247	377
110D2P815	1518	798	221
MOTH3J915	9602	2794	770
MLBD2W915D	13358	2229	928
M15B1S915	567	2850	782
MLBD2W915R	6953	1630	616
MLBD2F715	11166	1136	331
MDPH3K715	16254	1845	644
110S2W115R	6895	1210	394
110D2W915D	11653	1191	454
M15S2F815	9203	337	154
MOTE1F915	10515	1425	515
110S2W115D	10080	830	249
MBRB2S915	697	2472	920
MBRB2S914	4152	11629	4230
110D2F915	10971	1094	356
110D2W815R	6086	1828	371
110D2W915R	9555	3696	868
M45S2F615	7472	457	99
MDPE2F514	21474	1961	535
110D2W815D	26027	2763	957
MLBD4W615D	9997	1630	540
M15B2S715	198	1377	352
MDPH1P515	14544	2963	828
MDPH1P514	31468	2694	1251
MOTE2P515	11903	1657	454
MLBD4W615R	4	1	0
110M2P615	4929	425	158
MILIQW515	5	4	3
MILIQW615	7	2	0
110B2S915	638	3475	1304
M45B1S415	276	3735	1534
110M2F815	1	1	0
M45D2W715C	0	5	2
MDPE3K915	15983	1896	680
110M2F615	14777	528	206
MLBS4W615D	16027	2066	561
MBRE3K715	13444	963	360
110S2F115	10131	476	186
MOTE1P715	10277	1482	301
MOTE1P714	16069	3003	610
M45B2S615	1827	6636	2130
MOTE2F514	18568	1863	512
MOTH2P915	15378	2024	706
MLBS2W515R	3838	446	99
MOTH2P914	17548	2476	655
MLBB1S615	1566	7566	2810
MINH3J515	7722	3522	853
MDPE1P914	15577	2339	538
MDPE1P915	13514	2485	804
MBRB2S715	833	2931	1083
MBRB2S714	23	18	4
MLBS4F615	12120	1160	257
M15B1S715	21	105	21
MOTE1F914	20175	1976	521
110D2P515	3677	386	179
MINB1S914	5523	17022	5430
MDPE3J515	4398	912	252
110S2F615	14721	577	157
MLBD2P115	11443	1824	543
MLBS2F515	7638	506	144
MOTH1P914	16735	2475	717
MOTH1P915	702	148	46
MBRE2P915	11245	2486	750
MBRE2P914	13372	2134	757
PBSRINSE	4	2	1
MBRH3J715	8876	3128	854
110B1S615	676	2801	1038
MLBD2W415R	1704	322	132
MINE3J915	4395	1213	357
MLBD2W415D	7095	1346	427
MBRE2F914	13617	1093	377
MOTH2P515	10474	2089	563
MLBB2S815	647	2694	905
MBRE3J715	11950	3820	835
MINE1P515	5422	1636	427
MINE1P514	1427	909	343
M15S2F915	9088	538	250
M15B1S815	501	2775	725
M45D2F415	5567	194	48
110M2W815R	11945	2423	770
M45B1S715	264	1714	819
mockD03072016	138	419	71
110M2W815D	9067	720	315
MINH2F914	15418	1836	546
110M2W815C	0	0	1
waterD06222016	3	0	1
110M2W415D	14690	927	334
110M2W415R	5743	988	171
MDPE2F515	6137	364	139
MDPE3K515	12145	913	309
110B1S115	403	3027	1017
waterB03072016	1	6	1
MINE3K515	9919	1922	513
MBRH1F515	8281	870	287
M45S2W715D	7112	495	181
MLBD2W715D	14490	1926	584
MINH1P514	17263	15238	5417
MINH1P515	7618	2767	692
M45S2W715R	6103	740	216
M15S2P115	7022	1567	452
MLBD2W715R	4	1	3
MDPH3J715	11653	2512	686
MLBB1S915	696	3049	1119
110B2S815	898	3710	1168
mockA03032015	25976	220	182
110S2F815R	5266	882	386
M45S2P715	234	32	0
110D2F415	6204	498	57
MINB1S915	568	3334	1213
MBRH2P515	180	109	29
MOTH1P714	28355	4732	911
MOTH1P715	6016	1903	484
110M2P115	4266	1261	202
MOTE3K515	14301	1046	272
M45B1S115	258	2202	794
MBRH2F515	18879	1617	441
MOTH1F514	28446	3581	1250
MOTH1F515	13558	980	271
