"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"MOTEJ515",275,0.0850241454545455,0.107325233233233,0.0051286308171485,1,-4.34835116306678,0.001,999
"MOTEJ715",218,0.10409123853211,0.118911044163429,0.00626678684371635,9,-2.36481725019562,0.009,999
"MOTEJ915",258,0.106409379844961,0.110635559319009,0.0054148899470008,205,-0.780473752082161,0.205,999
"MOTEK515",168,0.10051869047619,0.133229271235521,0.00833267374089581,1,-3.92558040509746,0.001,999
"MOTEK715",164,0.0988578658536585,0.134268054395859,0.00893267398340989,1,-3.96411965867846,0.001,999
"MOTEK915",248,0.10308689516129,0.11231242472311,0.00570667153622473,59,-1.61662179139945,0.059,999
"MOTEP514",268,0.0910535447761194,0.108543209440784,0.00523774276372067,1,-3.33916067543583,0.001,999
"MOTEP515",248,0.0944427822580645,0.112555930164035,0.00554585561769819,1,-3.26606914326565,0.001,999
"MOTEP714",290,0.0895529310344828,0.104809732491112,0.00491052950118891,2,-3.10695648054556,0.002,999
"MOTEP715",249,0.105339799196787,0.112404987356835,0.00563837086139094,108,-1.2530548865501,0.108,999
"MOTEP914",284,0.0938894014084507,0.105822925213946,0.0049399950753615,9,-2.41569548621916,0.009,999
"MOTEP915",296,0.0915617905405405,0.104026777825122,0.00458183884755365,2,-2.72052066851658,0.002,999
